artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Britney Spears,Oops!...I Did It Again,22,211160,FALSE,2000,77,1,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,pop,1,0,0,0,0,0,0
blink-182,All The Small Things,20,167066,FALSE,1999,79,1,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop",1,1,0,0,0,0,0
Faith Hill,Breathe,7,250546,FALSE,1999,66,0,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,"pop, country",1,0,0,0,0,0,0
Bon Jovi,It's My Life,12,224493,FALSE,2000,78,1,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,"rock, metal",0,1,0,0,0,0,0
*NSYNC,Bye Bye Bye,11,200560,FALSE,2000,65,0,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop,1,0,0,0,0,0,0
Sisqo,Thong Song,10,253733,TRUE,1999,69,0,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,"hip hop, pop, R&B",1,0,1,0,0,1,0
Eminem,The Real Slim Shady,19,284200,TRUE,2000,86,1,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop,0,0,1,0,0,0,0
Robbie Williams,Rock DJ,7,258560,FALSE,2000,68,0,0.708,0.772,7,-4.264,1,0.0322,0.0267,0,0.467,0.861,103.035,"pop, rock",1,1,0,0,0,0,0
Destiny's Child,Say My Name,11,271333,FALSE,1999,75,0,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,"pop, R&B",1,0,0,0,0,1,0
Modjo,Lady - Hear Me Tonight,22,307153,FALSE,2001,77,1,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic,0,0,0,1,0,0,0
Gigi D'Agostino,L'Amour Toujours,16,238759,FALSE,2011,1,0,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop,1,0,0,0,0,0,0
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,48,268863,FALSE,1999,56,0,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop,1,0,0,0,0,0,0
Bomfunk MC's,Freestyler,10,306333,FALSE,2000,55,0,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop,1,0,0,0,0,0,0
Sting,Desert Rose,11,285960,FALSE,1999,62,0,0.586,0.659,0,-7.92,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop",1,1,0,0,0,0,0
Melanie C,Never Be The Same Again,23,294200,FALSE,1999,61,0,0.689,0.685,3,-5.153,1,0.0478,0.0921,0,0.119,0.398,160.067,"pop, Dance/Electronic",1,0,0,1,0,0,0
Aaliyah,Try Again,9,284000,FALSE,2002,53,0,0.797,0.622,6,-5.642,0,0.29,0.0807,0,0.0841,0.731,93.02,"hip hop, pop, R&B",1,0,1,0,0,1,0
Anastacia,I'm Outta Love - Radio Edit,27,245400,FALSE,1999,64,0,0.761,0.716,10,-5.8,0,0.056,0.396,0,0.0771,0.649,119.41,pop,1,0,0,0,0,0,0
Alice Deejay,Better Off Alone,16,214883,FALSE,2000,73,0,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop,1,0,0,0,0,0,0
Gigi D'Agostino,The Riddle,10,285426,FALSE,1999,64,0,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop,1,0,0,0,0,0,0
Dr. Dre,The Next Episode,16,161506,TRUE,1999,82,1,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop,0,0,1,0,0,0,0
Linkin Park,In the End,10,216880,FALSE,2000,83,1,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal",0,1,0,0,0,0,0
Tom Jones,Sexbomb,7,211893,FALSE,1999,65,0,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38E-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening",0,1,0,0,1,0,0
Sonique,It Feels So Good,16,240866,FALSE,2000,62,0,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop,1,0,0,0,0,0,0
M.O.P.,Cold as Ice,11,244466,TRUE,2000,54,0,0.656,0.88,11,-5.425,0,0.143,0.0421,0,0.294,0.758,85.565,hip hop,0,0,1,0,0,0,0
Melanie C,I Turn To You,13,352173,FALSE,1999,54,0,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic",1,0,0,1,0,0,0
Limp Bizkit,Take A Look Around,18,321040,FALSE,2000,72,0,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal,0,0,0,0,0,0,0
Darude,Sandstorm,9,225493,FALSE,2001,69,0,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic",1,0,0,1,0,0,0
